interaction,new_y,sentence,explanation
#drug may increase the vasoconstricting activities of #drug.,18,vasoconstricting activities be increased,The physiological narrowing of BLOOD VESSELS by contraction of the VASCULAR SMOOTH MUSCLE.
#drug may increase the QTc-prolonging activities of #drug.,19,QTc-prolonging activities be increased,A condition that is characterized by episodes of fainting (SYNCOPE) and varying degree of ventricular arrhythmia as indicated by the prolonged QT interval. The inherited forms are caused by mutation of genes encoding cardiac ion channel proteins. The two major forms are ROMANO-WARD SYNDROME and JERVELL-LANGE NIELSEN SYNDROME.
#drug may increase the neuromuscular blocking activities of #drug.,20,neuromuscular blocking activities be increased,"Drugs that interrupt transmission of nerve impulses at the skeletal neuromuscular junction. They can be of two types, competitive, stabilizing blockers (NEUROMUSCULAR NONDEPOLARIZING AGENTS) or noncompetitive, depolarizing agents (NEUROMUSCULAR DEPOLARIZING AGENTS). Both prevent acetylcholine from triggering the muscle contraction and they are used as anesthesia adjuvants, as relaxants during electroshock, in convulsive states, etc."
#drug may increase the adverse neuromuscular activities of #drug.,21,adverse neuromuscular activities be increased,"Drugs used for their actions on skeletal muscle. Included are agents that act directly on skeletal muscle, those that alter?neuromuscular?transmission (NEUROMUSCULAR?BLOCKING AGENTS), and drugs that act centrally as skeletal muscle relaxants (MUSCLE RELAXANTS, CENTRAL). Drugs used in the treatment of movement disorders are ANTI-DYSKINESIA AGENTS."
#drug may increase the stimulatory activities of #drug.,22,stimulatory activities be increased,"The increase in a measurable parameter of a PHYSIOLOGICAL PROCESS, including cellular, microbial, and plant; immunological, cardiovascular, respiratory, reproductive, urinary, digestive, neural, musculoskeletal, ocular, and skin physiological processes; or METABOLIC PROCESS, including enzymatic and other pharmacological processes, by a drug or other chemical."
#drug may increase the hypocalcemic activities of #drug.,23,hypocalcemic activities be increased,"Reduction of the blood calcium below normal. Manifestations include hyperactive deep tendon reflexes, Chvostek's sign, muscle and abdominal cramps, and carpopedal spasm."
#drug may increase the atrioventricular blocking (AV block) activities of #drug.,24,atrioventricular blocking activities be increased,Impaired impulse conduction from HEART ATRIA to HEART VENTRICLES.?AV block?can mean delayed or completely blocked impulse conduction.
#drug may decrease the antiplatelet activities of #drug.,25,antiplatelet activities be decrease,"Drugs or agents which antagonize or impair any mechanism leading to blood platelet aggregation, whether during the phases of activation and shape change or following the dense-granule release reaction and stimulation of the prostaglandin-thromboxane system."
#drug may increase the neuroexcitatory activities of #drug.,26,neuroexcitatory activities be increased,excitation of a nerve or of parts of the nervous system.
#drug may increase the dermatologic adverse activities of #drug.,27,dermatologic adverse activities be increased,Drugs used to treat or prevent skin disorders or for the routine care of skin.
#drug may decrease the diuretic activities of #drug.,28,diuretic activities be decrease,Agents that promote the excretion of urine through their effects on kidney function.
#drug may increase the orthostatic hypotensive activities of #drug.,29,orthostatic hypotensive activities be increased,"A significant drop in BLOOD PRESSURE after assuming a standing position. Orthostatic hypotension is a finding, and defined as a 20-mm Hg decrease in systolic pressure or a 10-mm Hg decrease in diastolic pressure 3 minutes after the person has risen from supine to standing. Symptoms generally include DIZZINESS, blurred vision, and SYNCOPE."
The risk or severity of hypertension can be increased when #drug is combined with #drug.,30,hypertension be increased,"Persistently high systemic arterial BLOOD PRESSURE. Based on multiple readings (BLOOD PRESSURE DETERMINATION), hypertension is currently defined as when SYSTOLIC PRESSURE is consistently greater than 140 mm Hg or when DIASTOLIC PRESSURE is consistently 90 mm Hg or more."
#drug may increase the sedative activities of #drug.,31,sedative activities be increased,Drugs used to induce drowsiness or sleep or to reduce psychological excitement or anxiety.
The risk or severity of QTc prolongation can be increased when #drug is combined with #drug.,32,QTc prolongation activities be increased,A condition that is characterized by episodes of fainting (SYNCOPE) and varying degree of ventricular arrhythmia as indicated by the prolonged QT interval. The inherited forms are caused by mutation of genes encoding cardiac ion channel proteins. The two major forms are ROMANO-WARD SYNDROME and JERVELL-LANGE NIELSEN SYNDROME.
#drug may increase the immunosuppressive activities of #drug.,33,immunosuppressive activities be increased,"Agents that suppress immune function by one of several mechanisms of action. Classical cytotoxic immunosuppressants act by inhibiting DNA synthesis. Others may act through activation of T-CELLS or by inhibiting the activation of HELPER CELLS. While immunosuppression has been brought about in the past primarily to prevent rejection of transplanted organs, new applications involving mediation of the effects of INTERLEUKINS and other CYTOKINES are emerging."
#drug may increase the neurotoxic activities of #drug.,34,neurotoxic activities be increased,"Neurotoxicity is a form of toxicity in which a biological, chemical, or physical agent produces an adverse effect on the structure or function of the central and/or peripheral nervous system."
#drug may increase the antipsychotic activities of #drug.,35,antipsychotic activities be increased,"Agents that control agitated psychotic behavior, alleviate acute psychotic states, reduce psychotic symptoms, and exert a quieting effect. They are used in SCHIZOPHRENIA; senile dementia; transient psychosis following surgery; or MYOCARDIAL INFARCTION; etc. These drugs are often referred to as neuroleptics alluding to the tendency to produce neurological side effects, but not all antipsychotics are likely to produce such effects. Many of these drugs may also be effective against nausea, emesis, and pruritus."
#drug may decrease the antihypertensive activities of #drug.,36,antihypertensive activities be decrease,"Drugs used in the treatment of acute or chronic vascular HYPERTENSION regardless of pharmacological mechanism. Among the antihypertensive agents are DIURETICS; (especially DIURETICS, THIAZIDE); ADRENERGIC BETA-ANTAGONISTS; ADRENERGIC ALPHA-ANTAGONISTS; ANGIOTENSIN-CONVERTING ENZYME INHIBITORS; CALCIUM CHANNEL BLOCKERS; GANGLIONIC BLOCKERS; and VASODILATOR AGENTS."
#drug may increase the vasodilatory activities of #drug.,37,vasodilatory activities be increased,The physiological widening of BLOOD VESSELS by relaxing the underlying VASCULAR SMOOTH MUSCLE.
#drug may increase the constipating activities of #drug.,38,constipating activities be increased,"Infrequent or difficult evacuation of FECES. These symptoms are associated with a variety of causes, including low DIETARY FIBER intake, emotional or nervous disturbances, systemic and structural disorders, drug-induced aggravation, and infections."
#drug may increase the respiratory depressant activities of #drug.,39,respiratory depressant activities be increased,Hypoventilation (also known as respiratory depression) occurs when ventilation is inadequate (hypo meaning "below") to perform needed respiratory gas exchange.By definition it causes an increased concentration of carbon dioxide (hypercapnia) and respiratory acidosis.
#drug may increase the hypotensive and central nervous system depressant (CNS depressant) activities of #drug.,40,hypotensive and central nervous system depressant activities be increased,"Abnormally low BLOOD PRESSURE that can result in inadequate blood flow to the brain and other vital organs. Common symptom is DIZZINESS but greater negative impacts on the body occur when there is prolonged depravation of oxygen and nutrients.&A very loosely defined group of drugs that tend to reduce the activity of the central nervous system. The major groups included here are ethyl alcohol, anesthetics, hypnotics and sedatives, narcotics, and tranquilizing agents (antipsychotics and antianxiety agents)."
The risk or severity of hyperkalemia can be increased when #drug is combined with #drug.,41,hyperkalemia be increased,"Abnormally high potassium concentration in the blood, most often due to defective renal excretion. It is characterized clinically by electrocardiographic abnormalities (elevated T waves and depressed P waves, and eventually by atrial asystole). In severe cases, weakness and flaccid paralysis may occur."
The protein binding of #drug can be decreased when combined with #drug.,42,protein binding be decrease,"The process in which substances, either endogenous or exogenous, bind to proteins, peptides, enzymes, protein precursors, or allied compounds. Specific?protein-binding?measures are often used as assays in diagnostic assessments."
#drug may increase the central neurotoxic activities of #drug.,43,central neurotoxic activities be increased,"Neurotoxicity is a form of toxicity in which a biological, chemical, or physical agent produces an adverse effect on the structure or function of the central and/or peripheral nervous system."
#drug may decrease effectiveness of #drug as a diagnostic agent.,44,effectiveness be decrease,Effectiveness can be defined as the extent to which a drug achieves its intended effect in the usual clinical setting.
#drug may increase the bronchoconstrictory activities of #drug.,45,bronchoconstrictory activities be increased,"Narrowing of the caliber of the BRONCHI, physiologically or as a result of pharmacological intervention."
The metabolism of #drug can be decreased when combined with #drug.,46,metabolism be decrease,"Used with organs, cells and subcellular fractions, organisms, and diseases for biochemical changes. It is used also with drugs and chemicals for catabolic changes (breakdown of complex molecules into simpler ones). For anabolic processes (conversion of small molecules into large), BIOSYNTHESIS is used. For enzymology and pharmacokinetics use the specific subheadings."
#drug may increase the myopathic rhabdomyolysis activities of #drug.,47,myopathic rhabdomyolysis activities be increased,Necrosis or disintegration of skeletal muscle often followed by myoglobinuria.
The risk or severity of adverse effects can be increased when #drug is combined with #drug.,48,adverse effects be increased,"Used with drugs, chemicals, or biological agents in accepted dosage - or with physical agents or manufactured products in normal usage - when intended for diagnostic, therapeutic, prophylactic, or anesthetic purposes. It is used also for adverse effects or complications of diagnostic, therapeutic, prophylactic, anesthetic, surgical, or other procedures."
The risk or severity of heart failure can be increased when #drug is combined with #drug.,49,heart failure be increased,"A heterogeneous condition in which the heart is unable to pump out sufficient blood to meet the metabolic need of the body. Heart failure can be caused by structural defects, functional abnormalities (VENTRICULAR DYSFUNCTION), or a sudden overload beyond its capacity. Chronic heart failure is more common than acute heart failure which results from sudden insult to cardiac function, such as MYOCARDIAL INFARCTION."
#drug may increase the hypercalcemic activities of #drug.,50,hypercalcemic activities be increased,Abnormally high level of calcium in the blood.
#drug may decrease the analgesic activities of #drug.,51,analgesic activities be decrease,Compounds capable of relieving pain without the loss of CONSCIOUSNESS.
#drug may increase the antiplatelet activities of #drug.,52,antiplatelet activities be increased,medications or therapeutic approaches that prevent the aggregation of platelets.
#drug may increase the bradycardic activities of #drug.,53,bradycardic activities be increased,"Cardiac arrhythmias that are characterized by excessively slow HEART RATE, usually below 50 beats per minute in human adults. They can be classified broadly into SINOATRIAL NODE dysfunction and ATRIOVENTRICULAR BLOCK."
#drug may increase the hyponatremic activities of #drug.,54,hyponatremic activities be increased,Deficiency of sodium in the blood; salt depletion.
The risk or severity of hypotension can be increased when #drug is combined with #drug.,55,hypotension be increased,Abnormally low BLOOD PRESSURE that can result in inadequate blood flow to the brain and other vital organs. Common symptom is DIZZINESS but greater negative impacts on the body occur when there is prolonged depravation of oxygen and nutrients.
#drug may increase the nephrotoxic activities of #drug.,56,nephrotoxic activities be increased,"kidney injury caused by immune checkpoint inhibitors, which may result in acute kidney injury (AKI) and/or proteinuria."
#drug may decrease the cardiotoxic activities of #drug.,57,cardiotoxic activities be decrease,Agents that have a damaging effect on the HEART. Such damage can occur from ALKYLATING AGENTS; FREE RADICALS; or metabolites from OXIDATIVE STRESS and in some cases is countered by CARDIOTONIC AGENTS. Induction of LONG QT SYNDROME or TORSADES DE POINTES has been the reason for viewing some drugs as cardiotoxins.
#drug may increase the ulcerogenic activities of #drug.,58,ulcerogenic activities be increased,"Ulcerogenic refers to the property of causing ulcers, particularly in the context of antiinflammatory drugs where most of them are known to have this side effect."
#drug may increase the hypotensive activities of #drug.,59,hypotensive activities be increased,Abnormally low BLOOD PRESSURE that can result in inadequate blood flow to the brain and other vital organs. Common symptom is DIZZINESS but greater negative impacts on the body occur when there is prolonged depravation of oxygen and nutrients.
#drug may decrease the stimulatory activities of #drug.,60,stimulatory activities be decrease,"The increase in a measurable parameter of a PHYSIOLOGICAL PROCESS, including cellular, microbial, and plant; immunological, cardiovascular, respiratory, reproductive, urinary, digestive, neural, musculoskeletal, ocular, and skin physiological processes; or METABOLIC PROCESS, including enzymatic and other pharmacological processes, by a drug or other chemical."
The bioavailability of #drug can be increased when combined with #drug.,61,bioavailability be increased,The extent to which the active ingredient of a drug dosage form becomes available at the site of drug action or in a biological medium believed to reflect accessibility to a site of action
#drug may increase the myelosuppressive activities of #drug.,62,myelosuppressive activities be increased,defined as a decrease in the ability of the bone marrow to produce blood cells.
#drug may increase the serotonergic activities of #drug.,63,serotonergic activities be increased,"A biochemical messenger and regulator, synthesized from the essential amino acid L-TRYPTOPHAN. In humans it is found primarily in the central nervous system, gastrointestinal tract, and blood platelets.?Serotonin?mediates several important physiological functions including neurotransmission, gastrointestinal motility, hemostasis, and cardiovascular integrity. Multiple receptor families (RECEPTORS,?SEROTONIN) explain the broad physiological actions and distribution of this biochemical mediator."
#drug may increase the excretion rate of #drug which could result in a lower serum level and potentially a reduction in efficacy.,64,excretion rate be increased,"Excretion is elimination of metabolic waste, which is an essential process in all organisms. In vertebrates, this is primarily carried out by the lungs, kidneys, and skin."
The risk or severity of bleeding can be increased when #drug is combined with #drug.,65,bleeding be increased,Bleeding is blood escaping from the circulatory system from damaged blood vessels.
#drug can cause a decrease in the absorption of #drug resulting in a reduced serum concentration and potentially a decrease in efficacy.,66,absorption be decrease,"The physical or physiological processes by which substances, tissue, cells, etc. take up or take in other substances or energy."
#drug may increase the hyperkalemic activities of #drug.,67,hyperkalemic activities be increased,"Abnormally high potassium concentration in the blood, most often due to defective renal excretion. It is characterized clinically by electrocardiographic abnormalities (elevated T waves and depressed P waves, and eventually by atrial asystole). In severe cases, weakness and flaccid paralysis may occur."
#drug may increase the analgesic activities of #drug.,68,analgesic activities be increased,Compounds capable of relieving pain without the loss of CONSCIOUSNESS.
The therapeutic efficacy of #drug can be decreased when used in combination with #drug.,69,therapeutic efficacy be decrease,"The relative equivalency in the efficacy of different modes of treatment of a disease, most often used to compare the efficacy of different pharmaceuticals to treat a given disease."
#drug may increase the hypertensive activities of #drug.,70,hypertensive activities be increased,"A severe, acute increase in BLOOD PRESSURE that may result in STROKE or MYOCARDIAL ISCHEMIA."
#drug may decrease the excretion rate of #drug which could result in a higher serum level.,71,excretion rate be decrease,"Excretion is elimination of metabolic waste, which is an essential process in all organisms. In vertebrates, this is primarily carried out by the lungs, kidneys, and skin."
The serum concentration of #drug can be increased when it is combined with #drug.,72,serum concentration be increased,The clear portion of BLOOD that is left after BLOOD COAGULATION to remove BLOOD CELLS and clotting proteins.
#drug may increase the fluid retaining activities of #drug.,73,fluid retaining activities be increased,"a pathological state where the body retains excess fluid, typically manifesting as edema and ascites."
The serum concentration of #drug can be decreased when it is combined with #drug.,74,serum concentration be decrease,The clear portion of BLOOD that is left after BLOOD COAGULATION to remove BLOOD CELLS and clotting proteins.
#drug may decrease the sedative activities of #drug.,75,sedative activities be decrease,Drugs used to induce drowsiness or sleep or to reduce psychological excitement or anxiety.
The serum concentration of the active metabolites of #drug can be increased when #drug is used in combination with #drug.,76,serum concentration of the active metabolites be increased,"An active metabolite is a substance produced by the metabolism of a drug that retains pharmacological activity and can contribute to prolonged or toxic effects of the drug, or even have drug actions of its own."
#drug may increase the hyperglycemic activities of #drug.,77,hyperglycemic activities be increased,Abnormally high BLOOD GLUCOSE level.
#drug may increase the central nervous system depressant (CNS depressant) and hypertensive activities of #drug.,78,central nervous system depressant and hypertensive activities be increased,"A very loosely defined group of drugs that tend to reduce the activity of the central nervous system. The major groups included here are ethyl alcohol, anesthetics, hypnotics and sedatives, narcotics, and tranquilizing agents (antipsychotics and antianxiety agents).&A severe, acute increase in BLOOD PRESSURE that may result in STROKE or MYOCARDIAL ISCHEMIA."
#drug may increase the hepatotoxic activities of #drug.,79,hepatotoxic activities be increased,"encompasses numerous different individual diseases that ultimately lead to progressive damage of the liver, to liver malfunction and death."
#drug may increase the thrombogenic activities of #drug.,80,thrombogenic activities be increased,Thrombosis occurs when there is a breakdown in the balance between thrombogenic factors and protective mechanisms.
#drug may increase the arrhythmogenic activities of #drug.,81,arrhythmogenic activities be increased,the mechanisms that cause abnormal heart rate and rhythm due to either abnormal impulse generation or abnormal impulse conduction.
#drug may increase the hypokalemic activities of #drug.,82,hypokalemic activities be increased,"Abnormally low potassium concentration in the blood. It may result from potassium loss by renal secretion or by the gastrointestinal route, as by vomiting or diarrhea. It may be manifested clinically by neuromuscular disorders ranging from weakness to paralysis, by electrocardiographic abnormalities (depression of the T wave and elevation of the U wave), by renal disease, and by gastrointestinal disorders."
#drug may increase the vasopressor activities of #drug.,83,vasopressor activities be increased,"an agent that raises blood pressure by constricting blood vessels, thereby increasing systemic vascular resistance."
#drug may increase the tachycardic activities of #drug.,84,tachycardic activities be increased,"Abnormally rapid heartbeat, usually with a HEART RATE above 100 beats per minute for adults. Tachycardia accompanied by disturbance in the cardiac depolarization (cardiac arrhythmia) is called tachyarrhythmia."
The risk of a hypersensitivity reaction to #drug is increased when it is combined with #drug.,85,hypersensitivity reaction be increased,"Altered reactivity to an antigen, which can result in pathologic reactions upon subsequent exposure to that particular antigen."
