DrugID,Smiles,Description,Targets,Targets_DrugBank,Smile
DB00434,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12,"Cyproheptadine is a potent competitive antagonist of both serotonin and histamine receptors.[L32474] It is used primarily to treat allergic symptoms, though it is perhaps more notable for its use in appetite stimulation[L32519] and its off-label use in the treatment of serotonin syndrome.[A231274]",P35367|P28223|P28335|P25021|P41595|P11229|P08172|P20309|P34969,BE0000442|BE0000451|BE0000533|BE0000112|BE0000393|BE0000092|BE0000560|BE0000045|BE0000650,40|68|73|97|109|114|127|152|179|245|270|306|424|454|463|465|478|482|560|564|569|597|658|679|737|775|841
DB06153,CN1CCC(CC1)=C1C2=C(CCC3=CC=CC=C13)SC=C2,"Pizotifen belongs to the class of antamines and is related to [cyproheptadine].[A32532] It is a potent serotonin and tryptamine antagonist that has been used for migraine prevention for many years. It exhibits weak anticholinergic, antihistamine, and antikinin actions in addition to sedative and appetite-stimulating properties [L2292]. Some patients receiving pizotifen treatment developed tolerance with the prolonged use of the drug [L2292]. Numerous studies have revealed the potential antidepressant effects of pizotifen, which are independent of its antimigraine action [A32538]. While it is suggested that pizotifen may act similarly to the classic tricyclic antidepressants [A32538], its full mechanism of antidepressant action is not fully elucidated. Pizotifen hydrochloride is an active ingredient in Sandomigran, which is used for the prophylactic management of migraines. Sandomigran is available in a number of countries but is not approved by the FDA nor EMA.",P11229|P08172|P20309|P28223|P41595|P28335|P08908|P28222|P35367|P35348|P35368|P25100|P08913|P18089|P18825,BE0000092|BE0000560|BE0000045|BE0000451|BE0000393|BE0000533|BE0000291|BE0000797|BE0000442|BE0000501|BE0000575|BE0000715|BE0000289|BE0000572|BE0000342,40|68|73|97|109|114|127|179|187|230|241|245|287|306|307|375|424|454|463|465|478|482|497|520|564|569|585|633|643|660|679|737|755|775|796|829
DB00366,CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=N1,"Histamine H1 antagonist with pronounced sedative properties. It is used in allergies and as an antitussive, antiemetic, and hypnotic. Doxylamine has also been administered in veterinary applications and was formerly used in parkinsonism.",P35367|Q14994|P11229|P08172|P20309|P08173|P08912,BE0000442|BE0003848|BE0004890,5|13|27|114|138|166|245|278|298|344|378|395|418|420|424|469|482|485|532|564|623|634|672|679|685|704|716|718|753|769|775|784|821|855|867
DB00517,[Br-].CCCC(CCC)C(=O)O[C@H]1CC2CCC(C1)[N+]2(C)C,"Anisotropine methylbromide is a quaternary ammonium compound. Its use as treatment adjunct in peptic ulcer has been replaced by the use of more effective agents. Depending on the dose, anisotropine methylbromide may reduce the motility and secretory activity of the gastrointestinal system, and the tone of the ureter and urinary bladder and may have a slight relaxant action on the bile ducts and gallbladder. In general, smaller doses of anisotropine methylbromide inhibit salivary and bronchial secretions, sweating, and accommodation; cause dilatation of the pupil; and increase the heart rate. Larger doses are required to decrease motility of the gastrointestinal and urinary tracts and to inhibit gastric acid secretion.",P11229|P08172|P20309,BE0000092|BE0000560|BE0000045,42|45|52|63|139|170|196|222|298|311|319|369|405|409|410|460|545|566|625|643|690|711|716|717|722|737|754|767|775|810|816|824|831
DB00283,CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,"An ethanolamine-derivative, first generation histamine H1 antagonist used in hay fever, rhinitis, allergic skin conditions, and pruritus. It causes drowsiness.",P35367,BE0000442,5|19|29|73|86|109|114|166|229|230|252|278|298|303|335|344|378|395|409|418|424|478|482|485|502|532|554|561|564|622|623|636|679|716|717|737|775|792|810|855|862
DB00387,OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1,A muscarinic antagonist that crosses the blood-brain barrier and is used in the treatment of drug-induced extrapyramidal disorders and in parkinsonism.,P20309|P11229|P08172|P08173,BE0000045|BE0000092|BE0000560|BE0000405,60|73|109|114|189|245|278|284|316|328|335|389|395|409|413|418|424|456|475|482|564|565|611|628|679|716|737|775|802|810|823|855
DB00657,CNC1(C)C2CCC(C2)C1(C)C,"A nicotinic antagonist that is well absorbed from the gastrointestinal tract and crosses the blood-brain barrier. Mecamylamine has been used as a ganglionic blocker in treating hypertension, but, like most ganglionic blockers, is more often used now as a research tool.",Q15822|P36544|P43681|P17787,BE0000738|BE0002341|BE0000849|BE0000850,52|183|259|312|313|318|383|409|478|510|549|580|623|653|737|775|805|810|859|860
DB01591,O=C(O[C@H]1CN2CCC1CC2)N1CCC2=CC=CC=C2[C@@H]1C1=CC=CC=C1,"Solifenacin is a competitive muscarinic receptor antagonist indicated to treat an overactive bladder with urinary incontinence, urgency, and frequency.[L7511] It has a long duration of action as it is usually taken once daily.[L7511] Solifenacin was granted FDA approval on 19 November 2004.[L7511]",P20309|P08172|P08173|P08912|P11229,BE0000045|BE0000560|BE0000405|BE0000247|BE0000092,45|73|98|109|114|123|157|209|222|242|243|246|284|298|307|313|395|405|409|424|447|458|465|482|514|522|538|564|612|643|679|684|702|717|719|737|795|810|816|838|845|852|863|873
DB00782,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=CC=CC=C12)C(C)C,"A muscarinic antagonist used as an antispasmodic, in rhinitis, in urinary incontinence, and in the treatment of ulcers. At high doses it has nicotinic effects resulting in neuromuscular blocking.",P11229,BE0000092,45|60|82|114|134|170|188|203|212|288|298|332|333|369|405|424|433|438|482|485|544|563|564|576|607|623|629|679|716|717|727|768|775|810|816|863|874|880
DB01090,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,Pentolinium is a nicotinic antagonist that has been used as a ganglionic blocking agent in hypertension.,P32297|P30926|Q9GZZ6,BE0003585|BE0003584|BE0000411,18|64|87|164|245|329|335|383|405|505|566|599|716|737|754|775
DB11315,C[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,Methscopolamine is a quaternary ammonium derivative of scopolamine and antagonist at muscarininc (mACh) receptors. Methscopolamine bromide is the most common form of the active ingredient in oral pharmaceutical products. The oral tablets are used as an adjunct therapy for the treatment of peptic ulcer and is shown to be effective in decreasing the rate of recurrence of peptic ulcers as well as preventing complications.,not_have,not_have,3|20|45|52|61|63|109|114|139|170|222|298|319|329|395|399|405|409|416|418|424|456|482|540|563|564|578|625|679|690|708|716|717|723|737|754|775|797|810|816|848|860|873
DB00219,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,"A quaternary ammonium anticholinergic agent with peripheral side effects similar to those of atropine. It is used as an adjunct in the treatment of gastric and duodenal ulcer, and to relieve visceral spasms. The drug has also been used in the form of eye drops for mydriatic effect. [PubChem]",P11229,BE0000092,18|45|114|134|149|153|188|189|235|278|279|284|298|316|335|381|395|408|409|418|424|456|482|485|515|545|564|565|607|623|628|664|679|716|717|737|767|768|775|796|810|816|855
DB00424,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1,"Hyoscyamine is a tropane alkaloid and the levo-isomer of [atropine].[A228423] It is commonly extracted from plants in the _Solanaceae_ or nightshade family.[A228423] Research into the action of hyoscyamine in published literature dates back to 1826.[A228713] Hyoscyamine is used for a wide variety of treatments and therapeutics due to its antimuscarinic properties.[L31548,L31553] Although hyoscyamine is marketed in the United States, it is not FDA approved.[L31548,L31553]",P11229|P08172|P20309|P08173|Q08828,BE0000092|BE0000560|BE0000045|BE0000405|BE0000269,3|45|52|109|114|124|139|170|222|298|319|329|389|395|399|409|418|424|456|478|482|534|552|564|625|679|690|708|716|717|723|725|726|737|775|810|816|848|873
DB00340,CN1CCCC(CC2C3=CC=CC=C3SC3=CC=CC=C23)C1,Metixene (or methixene) is a anticholinergic used as an antiparkinsonian agent.,P11229|P08172|P20309|P08173|P08912,BE0004890,73|109|114|127|187|237|238|240|245|283|294|303|335|347|361|405|409|424|442|447|478|482|488|531|564|585|658|663|679|702|716|737|775|792|810|863
DB12278,CCCOC(C(=O)OC1CCN(C)CC1)(C1=CC=CC=C1)C1=CC=CC=C1,"Propiverine is a widely used antimuscarinic drug with a mixed mode of action in the treatment of symptoms associated with overactive bladder (OAB) [A32576]. Overactive bladder (OAB) is a chronic condition of the lower urinary tract characterized by urinary urgency, increased frequency of urination, and nocturia (frequent waking during the night to urinate). OAB has a negative impact on quality of life and may lead to leakage and inconvenient urinary accidents [L2327], [L2328]. Overactive bladder syndrome affects millions of elderly individuals in the United States and shows equal prevalence in men and women. The impact of OAB on quality of life is sometimes devastating, especially to elderly patients with other medical conditions [L2328]. Propiverine hydrochloride is a bladder detrusor muscle relaxant drug with dual antimuscarinic and calcium-modulating properties for the treatment of OAB [L2317].",P11229|P08172|P20309|P08912|Q13936|P35348|P08173,BE0000092|BE0000560|BE0000045|BE0000247|BE0000430|BE0000501|BE0000405,40|45|49|73|109|114|222|244|245|269|278|289|298|305|395|409|410|418|424|478|482|532|545|564|607|617|623|625|646|658|679|710|716|717|737|767|775|810|816|851|855
DB00376,OC(CCN1CCCCC1)(C1CCCCC1)C1=CC=CC=C1,"Trihexyphenidyl is a centrally acting muscarinic antagonist used for treatment of parkinsonism and drug-induced extrapyramidal disorders.[L31773,L31778] Its discovery was published in 1949 in a study looking for drugs with antispasmodic activity.[A229103] Trihexyphenidyl is rarely used in the treatment of parkinsonism, and is not a first line treatment due to significant adverse effects.[L31843] It has largely been replaced by drugs such as [levodopa].[L31843] Trihexyphenidyl was granted FDA approval on 13 May 1949.[L31768]",P11229|P08172|P20309|P08173|P08912,BE0000092|BE0000560|BE0000045|BE0000405|BE0000247,60|73|109|114|189|245|278|284|316|328|335|389|395|409|413|418|424|456|475|482|564|565|611|628|679|716|737|775|802|810|823|855
DB01339,[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1,"Monoquaternary homolog of pancuronium. A non-depolarizing neuromuscular blocking agent with shorter duration of action than pancuronium. Its lack of significant cardiovascular effects and lack of dependence on good kidney function for elimination as well as its short duration of action and easy reversibility provide advantages over, or alternatives to, other established neuromuscular blocking agents.",Q15822,BE0000738,7|13|38|45|52|63|73|78|100|109|159|164|175|178|189|193|222|239|259|293|298|335|366|405|409|410|418|457|488|533|537|540|550|566|567|570|575|597|611|623|628|653|661|684|717|734|737|744|752|754|769|775|779|795|805|810|816|837|859
DB01338,[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)N1CC[N+](C)(C)CC1)N1CC[N+](C)(C)CC1,Pipecuronium is a piperazinyl androstane derivative which is a non-depolarizing neuromuscular blocking agent.,Q15822|P08172|P20309,BE0000738|BE0000560|BE0000045,7|38|45|52|63|73|100|109|115|159|175|178|193|222|236|239|259|293|298|366|405|409|410|418|454|457|488|509|517|533|537|566|567|575|622|623|628|653|684|717|737|744|752|754|769|775|779|795|805|810|816|837|859
DB01173,CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1C,A muscarinic antagonist used to treat drug-induced parkinsonism and to relieve pain from muscle spasm.,O15399|Q05586|O60391|Q8TCU5|P35367|P23975|Q9Y5Y9,BE0000396|BE0000365|BE0000534|BE0000641|BE0000442|BE0000486|BE0000177,21|80|111|114|138|170|298|316|355|367|395|421|424|469|482|485|517|526|564|623|669|679|694|704|708|713|716|718|753|775|848|874
DB00332,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(CO)C1=CC=CC=C1)[N+]2(C)C(C)C,"Ipratropium is a quaternary ammonium derivative of [atropine][A176957] that acts as an anticholinergic agent.[A176939] It is commonly administered through inhalation which allows producing a local effect without presenting a significant systemic absorption.[A176957] Ipratropium as a therapeutic agent was developed by Boehringer Ingelheim and its first monotherapy product was FDA approved in 1986, while the combination product of ipratropium and [albuterol] was approved in 1996.[L5894, L5891]",P20309|P11229|P08172,BE0000045|BE0000092|BE0000560,3|21|42|45|52|114|139|170|222|298|319|329|395|399|405|409|418|424|456|460|476|482|529|544|564|625|648|679|690|708|716|717|723|737|746|754|767|775|810|816|848|873
DB01337,[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)[N+]1(C)CCCCC1)[N+]1(C)CCCCC1,A bis-quaternary steroid that is a competitive nicotinic antagonist. As a neuromuscular blocking agent it is more potent than curare but has less effect on the circulatory system and on histamine release.,Q15822|P08172|P20309,BE0000738|BE0000560|BE0000045,0|7|13|38|45|52|63|78|100|126|164|175|178|189|222|239|259|293|298|320|335|366|405|409|418|457|533|537|540|566|567|570|575|597|623|628|653|661|717|734|737|752|754|769|775|779|795|805|810|816|837|859
DB00809,CCN(CC1=CC=NC=C1)C(=O)C(CO)C1=CC=CC=C1,"Tropicamide is an alkaloid atropine©\derived anticholinergic drug and a non©\selective antagonist of muscarinic acetylcholine (mACh) receptors.[A230103] Usually available in ophthalmic formulations, tropicamide is used to cause mydriasis and cycloplegia for eye exams or ocular procedures.[A229958] It is also used in combination with [hydroxyamphetamine] for the same indication.[L32178] Oral tropicamide has been investigated as a potential drug to relieve sialorrhea in patients with Parkinson's Disease.[A229958]",P08173|P11229|P08172|P20309,BE0000405|BE0000092|BE0000560|BE0000045,3|25|45|65|72|76|114|170|212|228|233|299|329|356|378|395|399|409|418|424|456|482|523|539|545|564|631|672|679|684|708|716|717|753|769|775|816|822|848
DB01036,CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(O)C=CC(C)=C1)C(C)C,Tolterodine is an antimuscarinic drug that is used to treat urinary incontinence. Tolterodine acts on M2 and M3 subtypes of muscarinic receptors.,P20309|P08172|P08912|P11229|P08173,BE0000045|BE0000560|BE0000247|BE0000092|BE0000405,16|80|114|118|138|170|215|234|281|310|331|355|395|424|448|456|474|482|512|544|564|585|623|639|643|679|694|702|708|716|753|775|837|846|848
DB00245,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,"Benztropine, with the chemical formula 3alpha-diphenylmethoxytropane, is a tropane-based dopamine inhibitor used for the symptomatic treatment of Parkinson's disease. It is a combination molecule between a tropane ring, similar to cocaine, and a diphenyl ether from the dialkylpiperazines determined to be a dopamine uptake inhibitor since 1970. The generation of structure-activity relationships proved that benztropine derivatives with the presence of a chlorine substituent in the para position in one of the phenyl rings produces an increased potency for dopamine uptake inhibition as well as a decreased inhibition of serotonin and norepinephrine.[A37914] Benztropine was developed by USL Pharma and officially approved by the FDA on 1996.[L5500]",P11229|Q01959|P35367|P31645|P23975,BE0000092|BE0000647|BE0000442|BE0000749|BE0000486,52|96|109|114|124|170|265|298|316|389|395|409|424|451|478|482|534|552|564|572|625|669|679|708|725|726|737|775|810|848
