y,y(count),interaction,new_y,sentence,explanation
7,1803,The therapeutic efficacy of #drug can be increased when used in combination with #drug.,11,therapeutic efficacy be increased,"The relative equivalency in the efficacy of different modes of treatment of a disease, most often used to compare the efficacy of different pharmaceuticals to treat a given disease."
65,939,The risk or severity of bleeding can be increased when #drug is combined with #drug.,12,bleeding be increased,Bleeding is blood escaping from the circulatory system from damaged blood vessels.
66,819,#drug can cause a decrease in the absorption of #drug resulting in a reduced serum concentration and potentially a decrease in efficacy.,13,absorption be decrease,"The physical or physiological processes by which substances, tissue, cells, etc. take up or take in other substances or energy."
64,787,#drug may increase the excretion rate of #drug which could result in a lower serum level and potentially a reduction in efficacy.,14,excretion rate be increased,"Excretion is elimination of metabolic waste, which is an essential process in all organisms. In vertebrates, this is primarily carried out by the lungs, kidneys, and skin."
81,666,#drug may increase the arrhythmogenic activities of #drug.,15,arrhythmogenic activities be increased,the mechanisms that cause abnormal heart rate and rhythm due to either abnormal impulse generation or abnormal impulse conduction.
31,596,#drug may increase the sedative activities of #drug.,16,sedative activities be increased,Drugs used to induce drowsiness or sleep or to reduce psychological excitement or anxiety.
30,525,The risk or severity of hypertension can be increased when #drug is combined with #drug.,17,hypertension be increased,"Persistently high systemic arterial BLOOD PRESSURE. Based on multiple readings (BLOOD PRESSURE DETERMINATION), hypertension is currently defined as when SYSTOLIC PRESSURE is consistently greater than 140 mm Hg or when DIASTOLIC PRESSURE is consistently 90 mm Hg or more."
53,501,#drug may increase the bradycardic activities of #drug.,18,bradycardic activities be increased,"Cardiac arrhythmias that are characterized by excessively slow HEART RATE, usually below 50 beats per minute in human adults. They can be classified broadly into SINOATRIAL NODE dysfunction and ATRIOVENTRICULAR BLOCK."
8,477,#drug may increase the hypoglycemic activities of #drug.,19,hypoglycemic activities be increased,A syndrome of abnormally low BLOOD GLUCOSE level. Clinical hypoglycemia has diverse etiologies. Severe hypoglycemia eventually lead to glucose deprivation of the CENTRAL NERVOUS SYSTEM resulting in HUNGER; SWEATING; PARESTHESIA; impaired mental function; SEIZURES; COMA; and even DEATH.
55,396,The risk or severity of hypotension can be increased when #drug is combined with #drug.,20,hypotension be increased,Abnormally low BLOOD PRESSURE that can result in inadequate blood flow to the brain and other vital organs. Common symptom is DIZZINESS but greater negative impacts on the body occur when there is prolonged depravation of oxygen and nutrients.
26,347,#drug may increase the neuroexcitatory activities of #drug.,21,neuroexcitatory activities be increased,excitation of a nerve or of parts of the nervous system.
75,339,#drug may decrease the sedative activities of #drug.,22,sedative activities be decrease,Drugs used to induce drowsiness or sleep or to reduce psychological excitement or anxiety.
29,299,#drug may increase the orthostatic hypotensive activities of #drug.,23,orthostatic hypotensive activities be increased,"A significant drop in BLOOD PRESSURE after assuming a standing position. Orthostatic hypotension is a finding, and defined as a 20-mm Hg decrease in systolic pressure or a 10-mm Hg decrease in diastolic pressure 3 minutes after the person has risen from supine to standing. Symptoms generally include DIZZINESS, blurred vision, and SYNCOPE."
41,286,The risk or severity of hyperkalemia can be increased when #drug is combined with #drug.,24,hyperkalemia be increased,"Abnormally high potassium concentration in the blood, most often due to defective renal excretion. It is characterized clinically by electrocardiographic abnormalities (elevated T waves and depressed P waves, and eventually by atrial asystole). In severe cases, weakness and flaccid paralysis may occur."
9,282,#drug may increase the antihypertensive activities of #drug.,25,antihypertensive activities be increased,"Drugs used in the treatment of acute or chronic vascular HYPERTENSION regardless of pharmacological mechanism. Among the antihypertensive agents are DIURETICS; (especially DIURETICS, THIAZIDE); ADRENERGIC BETA-ANTAGONISTS; ADRENERGIC ALPHA-ANTAGONISTS; ANGIOTENSIN-CONVERTING ENZYME INHIBITORS; CALCIUM CHANNEL BLOCKERS; GANGLIONIC BLOCKERS; and VASODILATOR AGENTS."
63,273,#drug may increase the serotonergic activities of #drug.,26,serotonergic activities be increased,"A biochemical messenger and regulator, synthesized from the essential amino acid L-TRYPTOPHAN. In humans it is found primarily in the central nervous system, gastrointestinal tract, and blood platelets.?Serotonin?mediates several important physiological functions including neurotransmission, gastrointestinal motility, hemostasis, and cardiovascular integrity. Multiple receptor families (RECEPTORS,?SEROTONIN) explain the broad physiological actions and distribution of this biochemical mediator."
33,264,#drug may increase the immunosuppressive activities of #drug.,27,immunosuppressive activities be increased,"Agents that suppress immune function by one of several mechanisms of action. Classical cytotoxic immunosuppressants act by inhibiting DNA synthesis. Others may act through activation of T-CELLS or by inhibiting the activation of HELPER CELLS. While immunosuppression has been brought about in the past primarily to prevent rejection of transplanted organs, new applications involving mediation of the effects of INTERLEUKINS and other CYTOKINES are emerging."
5,234,#drug may increase the anticoagulant activities of #drug.,28,anticoagulant activities be increased,Agents that prevent BLOOD CLOTTING.
70,185,#drug may increase the hypertensive activities of #drug.,29,hypertensive activities be increased,"A severe, acute increase in BLOOD PRESSURE that may result in STROKE or MYOCARDIAL ISCHEMIA."
2,131,The bioavailability of #drug can be decreased when combined with #drug.,30,bioavailability be decrease,The extent to which the active ingredient of a drug dosage form becomes available at the site of drug action or in a biological medium believed to reflect accessibility to a site of action.
60,123,#drug may decrease the stimulatory activities of #drug.,31,stimulatory activities be decrease,"The increase in a measurable parameter of a PHYSIOLOGICAL PROCESS, including cellular, microbial, and plant; immunological, cardiovascular, respiratory, reproductive, urinary, digestive, neural, musculoskeletal, ocular, and skin physiological processes; or METABOLIC PROCESS, including enzymatic and other pharmacological processes, by a drug or other chemical."
68,121,#drug may increase the analgesic activities of #drug.,32,analgesic activities be increased,Compounds capable of relieving pain without the loss of CONSCIOUSNESS.
52,118,#drug may increase the antiplatelet activities of #drug.,33,antiplatelet activities be increased,medications or therapeutic approaches that prevent the aggregation of platelets.
84,117,#drug may increase the tachycardic activities of #drug.,34,tachycardic activities be increased,"Abnormally rapid heartbeat, usually with a HEART RATE above 100 beats per minute for adults. Tachycardia accompanied by disturbance in the cardiac depolarization (cardiac arrhythmia) is called tachyarrhythmia."
1,108,#drug may increase the anticholinergic activities of #drug.,35,anticholinergic activities be increased,Anticholinergic effects are caused by drugs that block the action of acetylcholine. Acetylcholine is a chemical messenger (neurotransmitter) released by a nerve cell to transmit a signal to a neighboring nerve cell or a cell in a muscle or gland.
13,106,#drug may decrease the bronchodilatory activities of #drug.,36,bronchodilatory activities be decrease,Agents that cause an increase in the expansion of a bronchus or bronchial tubes.
20,98,#drug may increase the neuromuscular blocking activities of #drug.,37,neuromuscular blocking activities be increased,"Drugs that interrupt transmission of nerve impulses at the skeletal neuromuscular junction. They can be of two types, competitive, stabilizing blockers (NEUROMUSCULAR NONDEPOLARIZING AGENTS) or noncompetitive, depolarizing agents (NEUROMUSCULAR DEPOLARIZING AGENTS). Both prevent acetylcholine from triggering the muscle contraction and they are used as anesthesia adjuvants, as relaxants during electroshock, in convulsive states, etc."
18,92,#drug may increase the vasoconstricting activities of #drug.,38,vasoconstricting activities be increased,The physiological narrowing of BLOOD VESSELS by contraction of the VASCULAR SMOOTH MUSCLE.
83,91,#drug may increase the vasopressor activities of #drug.,39,vasopressor activities be increased,"an agent that raises blood pressure by constricting blood vessels, thereby increasing systemic vascular resistance."
82,88,#drug may increase the hypokalemic activities of #drug.,40,hypokalemic activities be increased,"Abnormally low potassium concentration in the blood. It may result from potassium loss by renal secretion or by the gastrointestinal route, as by vomiting or diarrhea. It may be manifested clinically by neuromuscular disorders ranging from weakness to paralysis, by electrocardiographic abnormalities (depression of the T wave and elevation of the U wave), by renal disease, and by gastrointestinal disorders."
57,88,#drug may decrease the cardiotoxic activities of #drug.,41,cardiotoxic activities be decrease,Agents that have a damaging effect on the HEART. Such damage can occur from ALKYLATING AGENTS; FREE RADICALS; or metabolites from OXIDATIVE STRESS and in some cases is countered by CARDIOTONIC AGENTS. Induction of LONG QT SYNDROME or TORSADES DE POINTES has been the reason for viewing some drugs as cardiotoxins.
56,73,#drug may increase the nephrotoxic activities of #drug.,42,nephrotoxic activities be increased,"kidney injury caused by immune checkpoint inhibitors, which may result in acute kidney injury (AKI) and/or proteinuria."
37,69,#drug may increase the vasodilatory activities of #drug.,43,vasodilatory activities be increased,The physiological widening of BLOOD VESSELS by relaxing the underlying VASCULAR SMOOTH MUSCLE.
19,69,#drug may increase the QTc-prolonging activities of #drug.,44,QTc-prolonging activities be increased,A condition that is characterized by episodes of fainting (SYNCOPE) and varying degree of ventricular arrhythmia as indicated by the prolonged QT interval. The inherited forms are caused by mutation of genes encoding cardiac ion channel proteins. The two major forms are ROMANO-WARD SYNDROME and JERVELL-LANGE NIELSEN SYNDROME.
35,61,#drug may increase the antipsychotic activities of #drug.,45,antipsychotic activities be increased,"Agents that control agitated psychotic behavior, alleviate acute psychotic states, reduce psychotic symptoms, and exert a quieting effect. They are used in SCHIZOPHRENIA; senile dementia; transient psychosis following surgery; or MYOCARDIAL INFARCTION; etc. These drugs are often referred to as neuroleptics alluding to the tendency to produce neurological side effects, but not all antipsychotics are likely to produce such effects. Many of these drugs may also be effective against nausea, emesis, and pruritus."
11,59,#drug may decrease the anticoagulant activities of #drug.,46,anticoagulant activities be decrease,Agents that prevent BLOOD CLOTTING.
17,57,#drug can cause an increase in the absorption of #drug resulting in an increased serum concentration and potentially a worsening of adverse effects.,47,absorption be increased,"The physical or physiological processes by which substances, tissue, cells, etc. take up or take in other substances or energy."
76,54,The serum concentration of the active metabolites of #drug can be increased when #drug is used in combination with #drug.,48,serum concentration of the active metabolites be increased,"An active metabolite is a substance produced by the metabolism of a drug that retains pharmacological activity and can contribute to prolonged or toxic effects of the drug, or even have drug actions of its own."
80,51,#drug may increase the thrombogenic activities of #drug.,49,thrombogenic activities be increased,Thrombosis occurs when there is a breakdown in the balance between thrombogenic factors and protective mechanisms.
44,41,#drug may decrease effectiveness of #drug as a diagnostic agent.,50,effectiveness be decrease,Effectiveness can be defined as the extent to which a drug achieves its intended effect in the usual clinical setting.
67,39,#drug may increase the hyperkalemic activities of #drug.,51,hyperkalemic activities be increased,"Abnormally high potassium concentration in the blood, most often due to defective renal excretion. It is characterized clinically by electrocardiographic abnormalities (elevated T waves and depressed P waves, and eventually by atrial asystole). In severe cases, weakness and flaccid paralysis may occur."
12,37,The absorption of #drug can be decreased when combined with #drug.,52,absorption be decrease,"The physical or physiological processes by which substances, tissue, cells, etc. take up or take in other substances or energy."
79,36,#drug may increase the hepatotoxic activities of #drug.,53,hepatotoxic activities be increased,"encompasses numerous different individual diseases that ultimately lead to progressive damage of the liver, to liver malfunction and death."
42,34,The protein binding of #drug can be decreased when combined with #drug.,54,protein binding be decrease,"The process in which substances, either endogenous or exogenous, bind to proteins, peptides, enzymes, protein precursors, or allied compounds. Specific?protein-binding?measures are often used as assays in diagnostic assessments."
34,25,#drug may increase the neurotoxic activities of #drug.,55,neurotoxic activities be increased,"Neurotoxicity is a form of toxicity in which a biological, chemical, or physical agent produces an adverse effect on the structure or function of the central and/or peripheral nervous system."
16,24,#drug may decrease the neuromuscular blocking activities of #drug.,56,neuromuscular blocking activities be decrease,"The intentional interruption of transmission at the NEUROMUSCULAR JUNCTION by external agents, usually neuromuscular blocking agents. It is distinguished from NERVE BLOCK in which nerve conduction (NEURAL CONDUCTION) is interrupted rather than neuromuscular transmission. Neuromuscular blockade is commonly used to produce MUSCLE RELAXATION as an adjunct to anesthesia during surgery and other medical procedures. It is also often used as an experimental manipulation in basic research. It is not strictly speaking anesthesia but is grouped here with anesthetic techniques. The failure of neuromuscular transmission as a result of pathological processes is not included here."
10,24,The serum concentration of the active metabolites of #drug can be reduced when #drug is used in combination with #drug resulting in a loss in efficacy.,57,serum concentration of the active metabolites be decreased,"An active metabolite is a substance produced by the metabolism of a drug that retains pharmacological activity and can contribute to prolonged or toxic effects of the drug, or even have drug actions of its own."
61,20,The bioavailability of #drug can be increased when combined with #drug.,58,bioavailability be increased,The extent to which the active ingredient of a drug dosage form becomes available at the site of drug action or in a biological medium believed to reflect accessibility to a site of action
45,16,#drug may increase the bronchoconstrictory activities of #drug.,59,bronchoconstrictory activities be increased,"Narrowing of the caliber of the BRONCHI, physiologically or as a result of pharmacological intervention."
85,15,The risk of a hypersensitivity reaction to #drug is increased when it is combined with #drug.,60,hypersensitivity reaction be increased,"Altered reactivity to an antigen, which can result in pathologic reactions upon subsequent exposure to that particular antigen."
47,13,#drug may increase the myopathic rhabdomyolysis activities of #drug.,61,myopathic rhabdomyolysis activities be increased,Necrosis or disintegration of skeletal muscle often followed by myoglobinuria.
